id_interacao;cliente_id;canal;departamento;status;data_hora;payload_detalhes
INT-000001;CLI-33996;chat_site;Suporte Tecnico;em_andamento;2026-04-30 06:12:54;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.176.140"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 6}"
INT-000002;CLI-98387;whatsapp;Financeiro;pendente;2026-10-31 08:49:55;"{""numero_origem"": ""+55419718063911"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 82, ""satisfacao_pre_atendimento"": 6, ""versao_whatsapp_api"": ""v18.0""}"
INT-000003;CLI-20384;chat_site;Financeiro;pendente;2026-05-10 07:42:49;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.41.83"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 6}"
INT-000004;CLI-39185;whatsapp;Ouvidoria;cancelado;2026-11-14 14:37:03;"{""numero_origem"": ""+55119279099624"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 30, ""satisfacao_pre_atendimento"": 6, ""versao_whatsapp_api"": ""v18.0""}"
INT-000005;CLI-36424;email;Suporte Tecnico;resolvido;2026-12-15 08:27:46;"{""dominio_email"": ""gmail.com"", ""tamanho_corpo_bytes"": 3247, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 4.08}"
INT-000006;CLI-16040;chat_site;Financeiro;resolvido;2026-04-08 23:22:43;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.39.43"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 7}"
INT-000007;CLI-62772;email;Financeiro;pendente;2026-02-10 10:01:22;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 1707, ""anexos_quantidade"": 1, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 6.72}"
INT-000008;CLI-80330;email;Comercial;em_andamento;2026-10-04 05:28:45;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 687, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 21.13}"
INT-000009;CLI-20020;email;Financeiro;cancelado;2026-08-27 11:25:25;"{""dominio_email"": ""gmail.com"", ""tamanho_corpo_bytes"": 1568, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 9.23}"
INT-000010;CLI-56164;whatsapp;Ouvidoria;cancelado;2026-11-29 12:36:48;"{""numero_origem"": ""+55219562808329"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 20, ""satisfacao_pre_atendimento"": 6, ""versao_whatsapp_api"": ""v18.0""}"
INT-000011;CLI-47041;telefone;Financeiro;cancelado;2026-09-15 19:13:49;"{""duracao_chamada_seg"": 354, ""fila_espera_seg"": 262, ""protocolo"": ""8592452026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 2}"
INT-000012;CLI-40275;email;Financeiro;cancelado;2026-07-08 11:41:21;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 3654, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 16.3}"
