id_interacao;cliente_id;canal;departamento;status;data_hora;payload_detalhes
INT-002001;CLI-33253;telefone;Financeiro;resolvido;2026-02-13 22:19:13;"{""duracao_chamada_seg"": 704, ""fila_espera_seg"": 217, ""protocolo"": ""3307242026"", ""satisfacao_pre_atendimento"": 3, ""transferencias"": 2}"
INT-002002;CLI-91941;whatsapp;Comercial;em_andamento;2026-01-24 20:04:58;"{""numero_origem"": ""+55119506108319"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 135, ""satisfacao_pre_atendimento"": 6, ""versao_whatsapp_api"": ""v18.0""}"
INT-002003;CLI-46746;chat_site;Comercial;pendente;2026-06-08 01:24:33;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.93.2"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 6}"
INT-002004;CLI-23154;email;Suporte Tecnico;pendente;2026-11-08 01:30:31;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 3821, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 22.97}"
INT-002005;CLI-27784;telefone;Suporte Tecnico;pendente;2026-06-18 15:10:48;"{""duracao_chamada_seg"": 141, ""fila_espera_seg"": 91, ""protocolo"": ""7683592026"", ""satisfacao_pre_atendimento"": 3, ""transferencias"": 2}"
INT-002006;CLI-56435;chat_site;Ouvidoria;cancelado;2026-06-10 11:05:05;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.79.243"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 4}"
INT-002007;CLI-23949;whatsapp;Ouvidoria;em_andamento;2026-05-29 07:04:38;"{""numero_origem"": ""+55419781367875"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 110, ""satisfacao_pre_atendimento"": 10, ""versao_whatsapp_api"": ""v18.0""}"
INT-002008;CLI-72410;telefone;Comercial;em_andamento;2026-06-07 18:00:16;"{""duracao_chamada_seg"": 514, ""fila_espera_seg"": 188, ""protocolo"": ""6839792026"", ""satisfacao_pre_atendimento"": 3, ""transferencias"": 0}"
INT-002009;CLI-98481;chat_site;Financeiro;pendente;2026-02-25 08:32:04;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.74.180"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 5}"
INT-002010;CLI-58142;whatsapp;Ouvidoria;em_andamento;2026-03-10 03:46:34;"{""numero_origem"": ""+55419396764106"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 23, ""satisfacao_pre_atendimento"": 10, ""versao_whatsapp_api"": ""v18.0""}"
INT-002011;CLI-21050;chat_site;Ouvidoria;resolvido;2026-05-14 15:02:48;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.43.234"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 5}"
