id_interacao;cliente_id;canal;departamento;status;data_hora;payload_detalhes
INT-005001;CLI-68246;chat_site;Comercial;cancelado;2026-06-11 20:44:34;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.212.167"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 10}"
INT-005002;CLI-46864;telefone;Comercial;cancelado;2026-10-20 22:06:24;"{""duracao_chamada_seg"": 260, ""fila_espera_seg"": 233, ""protocolo"": ""3543652026"", ""satisfacao_pre_atendimento"": 4, ""transferencias"": 2}"
INT-005003;CLI-78156;email;Ouvidoria;cancelado;2026-01-10 05:10:54;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 3446, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 9.76}"
INT-005004;CLI-60289;whatsapp;Suporte Tecnico;pendente;2026-10-22 05:44:44;"{""numero_origem"": ""+55419433195834"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 125, ""satisfacao_pre_atendimento"": 6, ""versao_whatsapp_api"": ""v18.0""}"
INT-005005;CLI-13961;email;Financeiro;pendente;2026-11-20 11:38:50;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 1080, ""anexos_quantidade"": 1, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 16.16}"
INT-005006;CLI-31801;whatsapp;Suporte Tecnico;resolvido;2026-08-17 07:51:03;"{""numero_origem"": ""+55319910113765"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 86, ""satisfacao_pre_atendimento"": 10, ""versao_whatsapp_api"": ""v18.0""}"
INT-005007;CLI-76577;telefone;Financeiro;em_andamento;2026-08-31 10:57:56;"{""duracao_chamada_seg"": 140, ""fila_espera_seg"": 123, ""protocolo"": ""1746002026"", ""satisfacao_pre_atendimento"": 1, ""transferencias"": 1}"
INT-005008;CLI-32056;whatsapp;Suporte Tecnico;cancelado;2026-10-15 19:24:56;"{""numero_origem"": ""+55119564014116"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 55, ""satisfacao_pre_atendimento"": 7, ""versao_whatsapp_api"": ""v18.0""}"
INT-005009;CLI-79180;chat_site;Financeiro;cancelado;2026-06-16 21:10:27;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.27.242"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 7}"
INT-005010;CLI-77967;email;Comercial;cancelado;2026-09-25 08:03:27;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 1497, ""anexos_quantidade"": 1, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 7.58}"
INT-005011;CLI-14472;chat_site;Ouvidoria;resolvido;2026-01-23 20:54:14;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.255.55"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 2}"
INT-005012;CLI-55423;whatsapp;Comercial;pendente;2026-06-03 16:42:56;"{""numero_origem"": ""+55719528324820"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 143, ""satisfacao_pre_atendimento"": 9, ""versao_whatsapp_api"": ""v18.0""}"
INT-005013;CLI-29161;whatsapp;Comercial;resolvido;2026-08-20 03:13:17;"{""numero_origem"": ""+55219656214699"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 137, ""satisfacao_pre_atendimento"": 8, ""versao_whatsapp_api"": ""v18.0""}"
INT-005014;CLI-51631;email;Comercial;resolvido;2026-12-10 08:49:58;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 1600, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 16.51}"
INT-005015;CLI-94582;whatsapp;Financeiro;pendente;2026-12-25 06:41:25;"{""numero_origem"": ""+55419428653505"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 49, ""satisfacao_pre_atendimento"": 7, ""versao_whatsapp_api"": ""v18.0""}"
INT-005016;CLI-34084;telefone;Ouvidoria;resolvido;2026-06-26 13:13:58;"{""duracao_chamada_seg"": 140, ""fila_espera_seg"": 211, ""protocolo"": ""9011052026"", ""satisfacao_pre_atendimento"": 3, ""transferencias"": 2}"
INT-005017;CLI-88103;whatsapp;Suporte Tecnico;resolvido;2026-07-21 21:28:31;"{""numero_origem"": ""+55319493781723"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 51, ""satisfacao_pre_atendimento"": 9, ""versao_whatsapp_api"": ""v18.0""}"
INT-005018;CLI-41939;whatsapp;Ouvidoria;pendente;2026-06-07 09:04:46;"{""numero_origem"": ""+55119322076420"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 80, ""satisfacao_pre_atendimento"": 9, ""versao_whatsapp_api"": ""v18.0""}"
INT-005019;CLI-89526;chat_site;Ouvidoria;resolvido;2026-09-07 19:16:59;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.191.45"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 3}"
INT-005020;CLI-15979;chat_site;Comercial;cancelado;2026-02-05 06:56:03;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.53.88"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 3}"
INT-005021;CLI-25966;whatsapp;Suporte Tecnico;pendente;2026-06-26 21:50:55;"{""numero_origem"": ""+55119780325420"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 78, ""satisfacao_pre_atendimento"": 9, ""versao_whatsapp_api"": ""v18.0""}"
INT-005022;CLI-98236;email;Financeiro;pendente;2026-02-23 04:14:41;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 1208, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 17.98}"
INT-005023;CLI-46803;email;Comercial;em_andamento;2026-01-23 14:07:27;"{""dominio_email"": ""gmail.com"", ""tamanho_corpo_bytes"": 1525, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 19.56}"
INT-005024;CLI-17190;email;Financeiro;pendente;2026-08-01 20:01:07;"{""dominio_email"": ""gmail.com"", ""tamanho_corpo_bytes"": 496, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 2.6}"
INT-005025;CLI-91130;chat_site;Comercial;pendente;2026-04-12 00:31:40;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.25.212"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 4}"
INT-005026;CLI-81811;telefone;Suporte Tecnico;resolvido;2026-11-03 04:40:37;"{""duracao_chamada_seg"": 688, ""fila_espera_seg"": 92, ""protocolo"": ""4781702026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 3}"
INT-005027;CLI-63073;chat_site;Comercial;pendente;2026-05-25 08:41:56;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.165.178"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 8}"
INT-005028;CLI-58925;email;Ouvidoria;pendente;2026-12-20 16:45:43;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 2573, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 9.67}"
INT-005029;CLI-85117;chat_site;Financeiro;pendente;2026-12-01 12:55:00;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.158.82"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 2}"
INT-005030;CLI-36468;telefone;Comercial;resolvido;2026-05-03 04:30:47;"{""duracao_chamada_seg"": 775, ""fila_espera_seg"": 76, ""protocolo"": ""3940922026"", ""satisfacao_pre_atendimento"": 1, ""transferencias"": 1}"
INT-005031;CLI-56704;email;Ouvidoria;pendente;2026-07-12 17:06:54;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 2316, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 10.17}"
INT-005032;CLI-93422;whatsapp;Suporte Tecnico;em_andamento;2026-04-20 20:19:16;"{""numero_origem"": ""+55119118864192"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 149, ""satisfacao_pre_atendimento"": 7, ""versao_whatsapp_api"": ""v18.0""}"
INT-005033;CLI-84196;whatsapp;Comercial;resolvido;2026-06-18 19:01:45;"{""numero_origem"": ""+55319736036137"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 144, ""satisfacao_pre_atendimento"": 8, ""versao_whatsapp_api"": ""v18.0""}"
INT-005034;CLI-15473;whatsapp;Financeiro;pendente;2026-03-04 21:16:13;"{""numero_origem"": ""+55119752946269"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 64, ""satisfacao_pre_atendimento"": 8, ""versao_whatsapp_api"": ""v18.0""}"
INT-005035;CLI-47933;telefone;Financeiro;pendente;2026-07-26 04:32:10;"{""duracao_chamada_seg"": 193, ""fila_espera_seg"": 139, ""protocolo"": ""7684122026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 2}"
INT-005036;CLI-17045;chat_site;Suporte Tecnico;pendente;2026-04-26 13:14:58;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.57.34"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 1}"
INT-005037;CLI-17680;email;Financeiro;resolvido;2026-04-09 09:29:47;"{""dominio_email"": ""gmail.com"", ""tamanho_corpo_bytes"": 3340, ""anexos_quantidade"": 1, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 22.31}"
INT-005038;CLI-93614;chat_site;Financeiro;em_andamento;2026-04-09 05:02:29;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.145.231"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 6}"
INT-005039;CLI-71559;email;Suporte Tecnico;em_andamento;2026-01-16 21:22:18;"{""dominio_email"": ""gmail.com"", ""tamanho_corpo_bytes"": 1566, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 12.35}"
INT-005040;CLI-87663;email;Suporte Tecnico;cancelado;2026-04-10 00:48:18;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 969, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 16.46}"
INT-005041;CLI-55050;chat_site;Suporte Tecnico;pendente;2026-04-14 12:17:42;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.57.1"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 7}"
INT-005042;CLI-79774;chat_site;Financeiro;resolvido;2026-10-23 18:02:48;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.136.212"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 3}"
INT-005043;CLI-41034;chat_site;Financeiro;em_andamento;2026-04-05 12:12:46;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.12.103"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 5}"
INT-005044;CLI-32838;email;Financeiro;em_andamento;2026-08-24 12:19:21;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 2823, ""anexos_quantidade"": 1, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 19.59}"
INT-005045;CLI-78154;whatsapp;Suporte Tecnico;pendente;2026-08-21 11:02:06;"{""numero_origem"": ""+55719906026007"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 57, ""satisfacao_pre_atendimento"": 8, ""versao_whatsapp_api"": ""v18.0""}"
INT-005046;CLI-21007;telefone;Financeiro;pendente;2026-09-22 06:00:19;"{""duracao_chamada_seg"": 613, ""fila_espera_seg"": 226, ""protocolo"": ""6688282026"", ""satisfacao_pre_atendimento"": 4, ""transferencias"": 2}"
INT-005047;CLI-56692;telefone;Financeiro;em_andamento;2026-04-14 15:29:19;"{""duracao_chamada_seg"": 894, ""fila_espera_seg"": 192, ""protocolo"": ""6075972026"", ""satisfacao_pre_atendimento"": 4, ""transferencias"": 1}"
INT-005048;CLI-79475;chat_site;Suporte Tecnico;pendente;2026-09-17 07:51:01;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.203.133"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 2}"
INT-005049;CLI-24157;chat_site;Suporte Tecnico;em_andamento;2026-06-25 18:18:19;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.147.191"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 3}"
INT-005050;CLI-17773;telefone;Ouvidoria;resolvido;2026-04-26 22:01:16;"{""duracao_chamada_seg"": 296, ""fila_espera_seg"": 24, ""protocolo"": ""2239862026"", ""satisfacao_pre_atendimento"": 1, ""transferencias"": 1}"
INT-005051;CLI-86573;whatsapp;Comercial;pendente;2026-07-16 15:30:28;"{""numero_origem"": ""+55419624676075"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 26, ""satisfacao_pre_atendimento"": 9, ""versao_whatsapp_api"": ""v18.0""}"
INT-005052;CLI-13207;whatsapp;Suporte Tecnico;resolvido;2026-11-03 12:07:53;"{""numero_origem"": ""+55119862465067"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 90, ""satisfacao_pre_atendimento"": 6, ""versao_whatsapp_api"": ""v18.0""}"
INT-005053;CLI-90430;email;Financeiro;em_andamento;2026-05-07 03:29:15;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 503, ""anexos_quantidade"": 1, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 7.38}"
