id_interacao;cliente_id;canal;departamento;status;data_hora;payload_detalhes
INT-007001;CLI-96907;email;Financeiro;cancelado;2026-11-14 08:08:26;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 2378, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 4.9}"
INT-007002;CLI-81552;email;Comercial;em_andamento;2026-05-11 22:35:00;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 3370, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 8.53}"
INT-007003;CLI-40258;telefone;Comercial;cancelado;2026-09-12 11:24:52;"{""duracao_chamada_seg"": 900, ""fila_espera_seg"": 238, ""protocolo"": ""1570172026"", ""satisfacao_pre_atendimento"": 3, ""transferencias"": 1}"
INT-007004;CLI-51377;email;Ouvidoria;em_andamento;2026-09-07 21:40:58;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 514, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 10.87}"
INT-007005;CLI-51219;chat_site;Suporte Tecnico;resolvido;2026-01-28 20:15:52;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.4.89"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 1}"
INT-007006;CLI-34364;telefone;Ouvidoria;pendente;2026-09-04 21:01:51;"{""duracao_chamada_seg"": 552, ""fila_espera_seg"": 111, ""protocolo"": ""9429132026"", ""satisfacao_pre_atendimento"": 3, ""transferencias"": 2}"
INT-007007;CLI-58920;email;Comercial;pendente;2026-10-30 07:50:17;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 1547, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 22.13}"
INT-007008;CLI-24760;chat_site;Ouvidoria;resolvido;2026-03-06 05:20:55;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.211.155"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 7}"
INT-007009;CLI-14940;chat_site;Suporte Tecnico;pendente;2026-09-18 12:24:57;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.92.188"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 7}"
INT-007010;CLI-90078;telefone;Comercial;cancelado;2026-08-06 09:25:09;"{""duracao_chamada_seg"": 95, ""fila_espera_seg"": 14, ""protocolo"": ""8633552026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 3}"
INT-007011;CLI-51084;email;Financeiro;em_andamento;2026-07-23 20:03:10;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 686, ""anexos_quantidade"": 1, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 22.22}"
