id_interacao;cliente_id;canal;departamento;status;data_hora;payload_detalhes
INT-006001;CLI-38227;chat_site;Comercial;resolvido;2026-04-29 06:54:20;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.2.73"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 9}"
INT-006002;CLI-53997;chat_site;Suporte Tecnico;pendente;2026-08-12 04:07:53;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.251.150"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 2}"
INT-006003;CLI-42098;email;Financeiro;resolvido;2026-01-03 11:40:43;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 2521, ""anexos_quantidade"": 1, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 3.23}"
INT-006004;CLI-69483;whatsapp;Financeiro;resolvido;2026-04-05 07:14:03;"{""numero_origem"": ""+55419923019718"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 108, ""satisfacao_pre_atendimento"": 8, ""versao_whatsapp_api"": ""v18.0""}"
INT-006005;CLI-84112;email;Ouvidoria;resolvido;2026-04-17 17:37:48;"{""dominio_email"": ""gmail.com"", ""tamanho_corpo_bytes"": 2518, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 12.72}"
INT-006006;CLI-71993;chat_site;Ouvidoria;em_andamento;2026-07-08 11:15:21;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.227.183"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 9}"
INT-006007;CLI-50629;chat_site;Financeiro;resolvido;2026-03-30 14:00:01;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.195.29"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 8}"
INT-006008;CLI-71732;chat_site;Ouvidoria;pendente;2026-08-17 01:30:38;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.162.165"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 7}"
INT-006009;CLI-23261;telefone;Suporte Tecnico;em_andamento;2026-03-15 16:35:55;"{""duracao_chamada_seg"": 386, ""fila_espera_seg"": 283, ""protocolo"": ""4039142026"", ""satisfacao_pre_atendimento"": 4, ""transferencias"": 3}"
INT-006010;CLI-81397;telefone;Ouvidoria;resolvido;2026-07-19 03:44:31;"{""duracao_chamada_seg"": 353, ""fila_espera_seg"": 56, ""protocolo"": ""9213092026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 2}"
