id_interacao;cliente_id;canal;departamento;status;data_hora;payload_detalhes
INT-004001;CLI-10313;chat_site;Comercial;resolvido;2026-05-29 17:45:06;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.60.253"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 10}"
INT-004002;CLI-94070;whatsapp;Comercial;em_andamento;2026-10-29 06:06:16;"{""numero_origem"": ""+55719444152017"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 133, ""satisfacao_pre_atendimento"": 6, ""versao_whatsapp_api"": ""v18.0""}"
INT-004003;CLI-66594;email;Financeiro;pendente;2026-04-17 15:05:02;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 2629, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 6.15}"
INT-004004;CLI-41669;chat_site;Financeiro;resolvido;2026-02-24 20:01:23;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.216.90"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 6}"
INT-004005;CLI-35408;whatsapp;Suporte Tecnico;em_andamento;2026-12-22 14:20:16;"{""numero_origem"": ""+55719265412540"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 101, ""satisfacao_pre_atendimento"": 7, ""versao_whatsapp_api"": ""v18.0""}"
INT-004006;CLI-63987;chat_site;Comercial;resolvido;2026-07-11 12:56:14;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.88.248"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 10}"
INT-004007;CLI-32944;chat_site;Comercial;em_andamento;2026-01-12 21:03:13;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.143.22"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 6}"
INT-004008;CLI-73540;chat_site;Ouvidoria;pendente;2026-02-18 07:40:30;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.131.207"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 3}"
INT-004009;CLI-28089;telefone;Comercial;resolvido;2026-01-30 00:46:35;"{""duracao_chamada_seg"": 856, ""fila_espera_seg"": 194, ""protocolo"": ""8052082026"", ""satisfacao_pre_atendimento"": 4, ""transferencias"": 1}"
INT-004010;CLI-42961;telefone;Financeiro;em_andamento;2026-02-08 09:47:58;"{""duracao_chamada_seg"": 603, ""fila_espera_seg"": 160, ""protocolo"": ""1240272026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 1}"
INT-004011;CLI-92481;chat_site;Financeiro;pendente;2026-11-16 23:23:18;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.243.215"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 3}"
INT-004012;CLI-81641;chat_site;Comercial;pendente;2026-10-17 03:12:51;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.73.116"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 10}"
INT-004013;CLI-61645;whatsapp;Ouvidoria;resolvido;2026-04-02 20:23:28;"{""numero_origem"": ""+55419300669919"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 19, ""satisfacao_pre_atendimento"": 10, ""versao_whatsapp_api"": ""v18.0""}"
INT-004014;CLI-91100;chat_site;Comercial;resolvido;2026-11-17 22:50:11;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.142.105"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 5}"
INT-004015;CLI-49446;chat_site;Financeiro;resolvido;2026-03-19 08:36:47;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.192.60"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 10}"
INT-004016;CLI-26545;email;Comercial;em_andamento;2026-10-20 12:00:17;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 4000, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 2.25}"
INT-004017;CLI-47886;email;Comercial;cancelado;2026-04-05 22:04:46;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 3139, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 3.13}"
INT-004018;CLI-62425;whatsapp;Comercial;pendente;2026-10-02 16:28:23;"{""numero_origem"": ""+55719284952304"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 115, ""satisfacao_pre_atendimento"": 7, ""versao_whatsapp_api"": ""v18.0""}"
INT-004019;CLI-20285;chat_site;Comercial;resolvido;2026-01-30 03:47:56;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.201.228"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 10}"
INT-004020;CLI-29113;telefone;Suporte Tecnico;pendente;2026-08-14 03:55:07;"{""duracao_chamada_seg"": 762, ""fila_espera_seg"": 163, ""protocolo"": ""8321882026"", ""satisfacao_pre_atendimento"": 1, ""transferencias"": 1}"
INT-004021;CLI-83401;telefone;Financeiro;pendente;2026-09-22 00:30:47;"{""duracao_chamada_seg"": 352, ""fila_espera_seg"": 33, ""protocolo"": ""2815062026"", ""satisfacao_pre_atendimento"": 4, ""transferencias"": 3}"
INT-004022;CLI-47615;telefone;Financeiro;resolvido;2026-10-27 00:18:54;"{""duracao_chamada_seg"": 249, ""fila_espera_seg"": 73, ""protocolo"": ""2786692026"", ""satisfacao_pre_atendimento"": 1, ""transferencias"": 3}"
INT-004023;CLI-67591;chat_site;Ouvidoria;em_andamento;2026-12-03 12:47:44;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.116.192"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 10}"
INT-004024;CLI-33819;telefone;Ouvidoria;em_andamento;2026-11-10 21:21:38;"{""duracao_chamada_seg"": 861, ""fila_espera_seg"": 286, ""protocolo"": ""9677692026"", ""satisfacao_pre_atendimento"": 1, ""transferencias"": 3}"
INT-004025;CLI-72704;chat_site;Suporte Tecnico;resolvido;2026-06-17 16:01:26;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.20.167"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 9}"
INT-004026;CLI-38790;telefone;Comercial;pendente;2026-05-24 02:15:47;"{""duracao_chamada_seg"": 152, ""fila_espera_seg"": 108, ""protocolo"": ""1728352026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 2}"
INT-004027;CLI-87207;chat_site;Comercial;pendente;2026-10-19 18:53:31;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.19.142"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 2}"
INT-004028;CLI-15384;chat_site;Ouvidoria;cancelado;2026-11-14 05:28:29;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.219.129"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 4}"
INT-004029;CLI-84851;whatsapp;Ouvidoria;pendente;2026-04-13 22:22:14;"{""numero_origem"": ""+55319155992235"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 41, ""satisfacao_pre_atendimento"": 9, ""versao_whatsapp_api"": ""v18.0""}"
INT-004030;CLI-70442;whatsapp;Financeiro;resolvido;2026-02-12 05:22:00;"{""numero_origem"": ""+55719954434254"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 26, ""satisfacao_pre_atendimento"": 7, ""versao_whatsapp_api"": ""v18.0""}"
INT-004031;CLI-15328;email;Comercial;cancelado;2026-02-22 03:05:47;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 1840, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 20.55}"
INT-004032;CLI-73019;chat_site;Suporte Tecnico;resolvido;2026-03-18 16:24:14;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.123.42"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 4}"
INT-004033;CLI-97159;chat_site;Comercial;cancelado;2026-05-22 12:07:48;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.132.17"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 1}"
INT-004034;CLI-36365;email;Financeiro;resolvido;2026-06-26 02:41:04;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 2992, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 18.49}"
INT-004035;CLI-45436;chat_site;Comercial;resolvido;2026-10-29 03:55:08;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.246.150"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 4}"
INT-004036;CLI-70549;telefone;Comercial;resolvido;2026-11-06 10:01:10;"{""duracao_chamada_seg"": 693, ""fila_espera_seg"": 246, ""protocolo"": ""1954302026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 2}"
INT-004037;CLI-99884;email;Suporte Tecnico;cancelado;2026-06-10 18:12:40;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 2772, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 11.55}"
INT-004038;CLI-33837;telefone;Suporte Tecnico;pendente;2026-06-03 11:27:19;"{""duracao_chamada_seg"": 571, ""fila_espera_seg"": 295, ""protocolo"": ""5372492026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 0}"
INT-004039;CLI-99604;whatsapp;Ouvidoria;pendente;2026-04-22 06:12:06;"{""numero_origem"": ""+55219449172736"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 82, ""satisfacao_pre_atendimento"": 10, ""versao_whatsapp_api"": ""v18.0""}"
INT-004040;CLI-12104;email;Financeiro;em_andamento;2026-09-02 02:56:20;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 1306, ""anexos_quantidade"": 1, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 5.21}"
INT-004041;CLI-99042;telefone;Comercial;cancelado;2026-04-06 23:54:52;"{""duracao_chamada_seg"": 442, ""fila_espera_seg"": 147, ""protocolo"": ""1033102026"", ""satisfacao_pre_atendimento"": 3, ""transferencias"": 1}"
INT-004042;CLI-61152;email;Financeiro;pendente;2026-07-27 05:48:45;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 1069, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 4.34}"
INT-004043;CLI-52502;telefone;Financeiro;pendente;2026-04-13 22:51:28;"{""duracao_chamada_seg"": 228, ""fila_espera_seg"": 94, ""protocolo"": ""6475692026"", ""satisfacao_pre_atendimento"": 4, ""transferencias"": 3}"
INT-004044;CLI-42034;whatsapp;Comercial;cancelado;2026-08-03 11:11:47;"{""numero_origem"": ""+55319400843495"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 79, ""satisfacao_pre_atendimento"": 10, ""versao_whatsapp_api"": ""v18.0""}"
INT-004045;CLI-73374;chat_site;Financeiro;pendente;2026-01-12 17:11:43;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.83.152"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 5}"
INT-004046;CLI-93982;chat_site;Financeiro;em_andamento;2026-09-18 06:37:31;"{""browser"": ""Edge"", ""ip_origem"": ""192.168.236.231"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 7}"
INT-004047;CLI-41025;email;Comercial;pendente;2026-06-05 20:30:43;"{""dominio_email"": ""yahoo.com"", ""tamanho_corpo_bytes"": 2344, ""anexos_quantidade"": 2, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 10.99}"
INT-004048;CLI-52629;chat_site;Financeiro;pendente;2026-05-08 12:52:41;"{""browser"": ""Safari"", ""ip_origem"": ""192.168.33.200"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 3}"
INT-004049;CLI-13342;whatsapp;Ouvidoria;resolvido;2026-03-30 10:29:18;"{""numero_origem"": ""+55719461256621"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 95, ""satisfacao_pre_atendimento"": 10, ""versao_whatsapp_api"": ""v18.0""}"
INT-004050;CLI-92494;chat_site;Suporte Tecnico;resolvido;2026-05-29 23:55:02;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.96.111"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 3}"
INT-004051;CLI-59177;telefone;Financeiro;cancelado;2026-05-07 21:00:25;"{""duracao_chamada_seg"": 756, ""fila_espera_seg"": 19, ""protocolo"": ""8933952026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 1}"
INT-004052;CLI-46852;whatsapp;Ouvidoria;resolvido;2026-07-15 22:31:59;"{""numero_origem"": ""+55119733253617"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 149, ""satisfacao_pre_atendimento"": 8, ""versao_whatsapp_api"": ""v18.0""}"
INT-004053;CLI-23467;email;Suporte Tecnico;pendente;2026-01-08 01:17:24;"{""dominio_email"": ""gmail.com"", ""tamanho_corpo_bytes"": 1927, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 6, ""tempo_primeira_resposta_horas"": 11.82}"
INT-004054;CLI-32703;chat_site;Ouvidoria;cancelado;2026-05-31 22:22:31;"{""browser"": ""Firefox"", ""ip_origem"": ""192.168.97.136"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 8}"
INT-004055;CLI-86545;whatsapp;Ouvidoria;pendente;2026-09-19 17:42:37;"{""numero_origem"": ""+55719628501986"", ""atendente_bot"": true, ""tempo_resposta_bot_seg"": 71, ""satisfacao_pre_atendimento"": 8, ""versao_whatsapp_api"": ""v18.0""}"
INT-004056;CLI-97042;whatsapp;Financeiro;em_andamento;2026-05-27 16:11:02;"{""numero_origem"": ""+55319700192386"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 34, ""satisfacao_pre_atendimento"": 8, ""versao_whatsapp_api"": ""v18.0""}"
