id_interacao;cliente_id;canal;departamento;status;data_hora;payload_detalhes
INT-008001;CLI-60477;whatsapp;Ouvidoria;em_andamento;2026-02-10 21:26:04;"{""numero_origem"": ""+55419134436176"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 54, ""satisfacao_pre_atendimento"": 9, ""versao_whatsapp_api"": ""v18.0""}"
INT-008002;CLI-35787;telefone;Ouvidoria;cancelado;2026-09-10 10:56:27;"{""duracao_chamada_seg"": 168, ""fila_espera_seg"": 216, ""protocolo"": ""4587512026"", ""satisfacao_pre_atendimento"": 4, ""transferencias"": 2}"
INT-008003;CLI-15771;email;Ouvidoria;em_andamento;2026-03-04 15:06:51;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 2747, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 11.98}"
INT-008004;CLI-16211;chat_site;Ouvidoria;cancelado;2026-11-16 12:50:34;"{""browser"": ""Chrome"", ""ip_origem"": ""192.168.148.124"", ""pagina_origem"": ""/ajuda/faq"", ""satisfacao_pre_atendimento"": 3}"
INT-008005;CLI-84499;email;Ouvidoria;resolvido;2026-06-11 05:49:49;"{""dominio_email"": ""outlook.com"", ""tamanho_corpo_bytes"": 1882, ""anexos_quantidade"": 1, ""satisfacao_pre_atendimento"": 5, ""tempo_primeira_resposta_horas"": 21.16}"
INT-008006;CLI-91812;email;Comercial;em_andamento;2026-03-19 22:10:05;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 3728, ""anexos_quantidade"": 3, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 18.25}"
INT-008007;CLI-25775;whatsapp;Comercial;em_andamento;2026-01-30 11:47:55;"{""numero_origem"": ""+55119526792478"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 113, ""satisfacao_pre_atendimento"": 7, ""versao_whatsapp_api"": ""v18.0""}"
INT-008008;CLI-92675;telefone;Ouvidoria;pendente;2026-04-07 09:25:58;"{""duracao_chamada_seg"": 155, ""fila_espera_seg"": 82, ""protocolo"": ""6984292026"", ""satisfacao_pre_atendimento"": 2, ""transferencias"": 3}"
INT-008009;CLI-71648;email;Suporte Tecnico;cancelado;2026-04-18 12:08:37;"{""dominio_email"": ""empresa.com.br"", ""tamanho_corpo_bytes"": 1216, ""anexos_quantidade"": 0, ""satisfacao_pre_atendimento"": 7, ""tempo_primeira_resposta_horas"": 0.72}"
INT-008010;CLI-42747;whatsapp;Suporte Tecnico;resolvido;2026-04-26 04:50:26;"{""numero_origem"": ""+55319333444655"", ""atendente_bot"": false, ""tempo_resposta_bot_seg"": 78, ""satisfacao_pre_atendimento"": 10, ""versao_whatsapp_api"": ""v18.0""}"
